,,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,,Defense Four Factors,,,,,,,
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,2000,Los Angeles Lakers,Yes,Yes,29.2,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,9.1,93.3,0.346,0.153,0.525,,0.484,12.7,30.6,0.241,,0.443,13.4,73.1,0.222,,STAPLES Center,"771,420","18,815"
2,2000,Portland Trail Blazers,Yes,No,29.6,59,23,59,23,6.4,-0.04,6.36,107.9,100.8,7.1,89.9,0.316,0.175,0.546,,0.501,14.5,30.3,0.24,,0.461,13.8,72.4,0.217,,Rose Garden Arena,"835,078","20,368"
3,2000,San Antonio Spurs,Yes,No,30.9,53,29,58,24,5.94,-0.02,5.92,105,98.6,6.4,90.8,0.346,0.138,0.535,,0.488,14.3,27.8,0.258,,0.451,13.5,73,0.188,,Alamodome,"884,450","21,694"
4,2000,Phoenix Suns,Yes,No,28.6,53,29,56,26,5.22,0.02,5.24,104.6,99,5.6,94,0.286,0.184,0.532,,0.491,15.2,29.3,0.217,,0.454,15.7,70.5,0.245,,America West Arena,"773,115","18,856"
5,2000,Utah Jazz,Yes,No,31.5,55,27,54,28,4.46,0.05,4.52,107.3,102.3,5,89.6,0.337,0.134,0.54,,0.49,14.3,29.5,0.26,,0.477,15,73.2,0.256,,Delta Center,"801,268","19,543"
6,2000,Indiana Pacers,Yes,No,30.4,56,26,54,28,4.6,-0.45,4.15,108.5,103.6,4.9,93.1,0.302,0.224,0.552,,0.503,13.3,24.9,0.245,,0.469,12.6,71.5,0.197,,Conseco Fieldhouse,"752,145","18,345"
7,2000,Miami Heat,Yes,No,29.2,52,30,50,32,3.11,-0.36,2.75,104.5,101,3.5,89.7,0.283,0.186,0.533,,0.495,14.5,28.2,0.208,,0.453,13.3,72.9,0.229,,AmericanAirlines Arena,"706,725","18,374"
8,2000,Sacramento Kings,Yes,No,27.5,44,38,49,33,2.91,0.12,3.04,105,102.1,2.9,99.3,0.277,0.227,0.526,,0.486,13.9,27.7,0.209,,0.479,15.1,69.7,0.198,,ARCO Arena (II),"720,033","17,185"
9,2000,Charlotte Hornets,Yes,No,28.7,49,33,49,33,2.67,-0.34,2.33,104.3,101.4,2.9,93.9,0.376,0.153,0.53,,0.475,13.7,25.7,0.285,,0.478,14.6,73.2,0.198,,Charlotte Coliseum,"732,827","17,874"
10,2000,Minnesota Timberwolves,Yes,No,26.6,50,32,48,34,2.52,0.14,2.67,106.1,103.4,2.7,91.8,0.256,0.104,0.525,,0.485,12.9,29.4,0.2,,0.474,14,73,0.25,,Target Center,"690,012","16,400"
11,2000,New York Knicks,Yes,No,29.5,50,32,46,36,1.46,-0.16,1.3,102.5,100.9,1.6,89.2,0.283,0.147,0.527,,0.482,14.4,24.7,0.221,,0.455,13.6,73.1,0.251,,Madison Square Garden (IV),"810,103","19,763"
12,2000,Detroit Pistons,Yes,No,28.3,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,1.5,95.7,0.378,0.184,0.548,,0.492,14.3,26.8,0.295,,0.499,15.4,71.6,0.249,,The Palace of Auburn Hills,"678,470","16,548"
13,2000,Philadelphia 76ers,Yes,No,27.1,49,33,45,37,1.34,-0.32,1.02,101.5,100,1.5,92.7,0.329,0.095,0.501,,0.457,14.2,31.4,0.233,,0.466,16.2,69.9,0.229,,First Union Center,"756,956","18,462"
14,2000,Seattle SuperSonics,Yes,No,28.5,45,37,44,38,0.95,0.22,1.17,105.6,104.6,1,93.4,0.282,0.232,0.52,,0.487,12.9,28.5,0.196,,0.483,14,69.6,0.193,,KeyArena at Seattle Center,"615,730","15,018"
15,2000,Orlando Magic,No,No,26.3,41,41,43,39,0.68,-0.26,0.43,102.4,101.7,0.7,97.3,0.305,0.124,0.516,,0.473,15.4,31.6,0.224,,0.476,15.9,69.9,0.226,,TD Waterhouse Centre,"576,409","14,059"
16,2000,Milwaukee Bucks,Yes,No,28.2,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,0.3,92.7,0.29,0.157,0.539,,0.494,13.8,30,0.228,,0.496,14.6,69.6,0.254,,Bradley Center,"628,605","15,332"
17,2000,Toronto Raptors,Yes,No,29.3,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,-0.2,92.5,0.3,0.17,0.511,,0.464,12.7,30.1,0.23,,0.48,14.2,71.8,0.247,,Air Canada Centre,"756,496","18,451"
