,,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,,Defense Four Factors,,,,,,,
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,2019,Milwaukee Bucks,Yes,No,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,,0.55,12,20.8,0.197,,0.503,11.5,80.3,0.162,,Fiserv Forum,"721,692","17,602"
2,2019,Golden State Warriors,Yes,No,28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,,0.565,12.6,22.5,0.182,,0.508,11.7,77.1,0.205,,Oracle Arena,"803,436","19,596"
3,2019,Toronto Raptors,Yes,Yes,27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,,0.543,12.4,21.9,0.198,,0.509,13.1,77.1,0.19,,Scotiabank Arena,"812,822","19,825"
4,2019,Utah Jazz,Yes,No,27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,,0.538,13.4,22.9,0.217,,0.507,12.4,80.3,0.189,,Vivint Smart Home Arena,"750,546","18,306"
5,2019,Houston Rockets,Yes,No,29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,,0.542,12,22.8,0.221,,0.525,13.4,74.4,0.21,,Toyota Center,"740,392","18,058"
6,2019,Boston Celtics,Yes,No,25.7,49,33,52,30,4.44,-0.54,3.9,112.7,108.3,4.4,99.2,0.215,0.381,0.567,,0.534,11.1,21.6,0.173,,0.514,13,77,0.198,,TD Garden,"763,584","18,624"
7,2019,Portland Trail Blazers,Yes,No,26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,,0.528,12.1,26.6,0.21,,0.516,11,77.9,0.195,,Moda Center,"799,345","19,496"
8,2019,Denver Nuggets,Yes,No,24.9,54,28,51,31,3.95,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,,0.527,11.9,26.6,0.175,,0.521,12.3,78,0.194,,Pepsi Center,"756,457","18,450"
9,2019,Indiana Pacers,Yes,No,27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,,0.53,12.4,21.9,0.182,,0.516,14.1,76.2,0.184,,Bankers Life Fieldhouse,"689,310","16,812"
10,2019,Oklahoma City Thunder,Yes,No,25.7,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,,0.514,11.7,26,0.19,,0.523,14.4,78.2,0.206,,Chesapeake Energy Arena,"746,323","18,203"
