,,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,,Defense Four Factors,,,,,,,
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,2001,San Antonio Spurs*,Yes,No,29.5,58,24,63,19,7.76,0.16,7.92,106.6,98,8.6,89.6,0.374,0.175,0.541,,0.496,13.6,27.1,0.267,,0.444,12.9,73.7,0.182,,Alamodome,"913,176","22,273"
2,2001,Sacramento Kings,Yes,No,27.1,55,27,57,25,5.82,0.25,6.07,105.6,99.6,6,94.4,0.298,0.194,0.529,,0.484,13.4,27.2,0.23,,0.46,14.5,70.7,0.181,,ARCO Arena (II),"709,997","17,317"
3,2001,Utah Jazz,Yes,No,32,53,29,55,27,4.7,0.31,5,107.6,102.4,5.2,89.8,0.363,0.135,0.546,,0.497,15.1,30.2,0.273,,0.473,15.6,73.2,0.301,,Delta Center,"792,196","19,322"
4,2001,Philadelphia 76ers,Yes,No,28.2,56,26,54,28,4.28,-0.65,3.64,103.6,98.9,4.7,90.6,0.351,0.124,0.518,,0.468,14.7,31.2,0.262,,0.46,14.5,72.5,0.186,,First Union Center,"805,692","19,651"
5,2001,Portland Trail Blazers,Yes,No,30.1,50,32,53,29,4.2,0.33,4.52,106.5,101.8,4.7,89.1,0.296,0.165,0.539,,0.497,14.8,30,0.225,,0.47,14.3,72.4,0.223,,Rose Garden Arena,"831,376","20,277"
6,2001,Dallas Mavericks,Yes,No,26.6,53,29,53,29,4.28,0.32,4.61,107.1,102.6,4.5,93.2,0.291,0.202,0.544,,0.498,13.1,24.1,0.231,,0.467,14.2,70.7,0.244,,Reunion Arena,"680,238","16,591"
7,2001,Milwaukee Bucks,Yes,No,28.2,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,4.2,92.1,0.276,0.218,0.542,,0.499,12.8,28.1,0.217,,0.473,14.4,71.1,0.253,,Bradley Center,"683,125","16,662"
8,2001,Los Angeles Lakers,Yes,Yes,29.2,56,26,51,31,3.38,0.37,3.74,108.4,104.8,3.6,91.7,0.349,0.191,0.535,,0.498,13.3,31.1,0.238,,0.468,12.2,72.5,0.234,,STAPLES Center,"776,336","18,935"
9,2001,New York Knicks,Yes,No,29.8,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,3,86.7,0.279,0.18,0.523,,0.476,14.6,24.2,0.222,,0.453,14.7,74.3,0.24,,Madison Square Garden (IV),"810,283","19,763"
10,2001,Miami Heat,Yes,No,30.9,50,32,48,34,2.29,-0.57,1.73,101.1,98.5,2.6,87.1,0.299,0.221,0.515,,0.469,13.7,24.3,0.227,,0.46,15.3,72.7,0.214,,AmericanAirlines Arena,"678,186","16,541"
11,2001,Toronto Raptors,Yes,No,29.9,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,2.5,90.9,0.285,0.167,0.51,,0.468,12.1,30.8,0.213,,0.476,13.3,73.2,0.212,,Air Canada Centre,"793,256","19,348"
12,2001,Houston Rockets,No,No,26.7,45,37,48,34,2.29,0.42,2.71,106.7,104.2,2.5,90.4,0.321,0.217,0.538,,0.492,14,27.5,0.244,,0.475,12.6,71.9,0.206,,Compaq Center,"518,555","12,648"
