,,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,,Defense Four Factors,,,,,,,
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,2023,Boston Celtics,Yes,No,27.4,57,25,57,25,6.52,-0.15,6.38,118,111.5,6.5,98.5,0.243,0.48,0.6,,0.566,12,22.1,0.197,,0.528,11.3,78.5,0.18,,TD Garden,"766,240","18,689"
2,2023,Cleveland Cavaliers,Yes,No,25.4,51,31,55,27,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,,0.556,12.3,23.6,0.206,,0.535,14.4,76.3,0.21,,Rocket Mortgage Fieldhouse,"777,280","18,958"
3,2023,Philadelphia 76ers,Yes,No,28.2,54,28,52,30,4.32,0.06,4.37,117.7,113.3,4.4,96.9,0.3,0.389,0.608,,0.563,12.6,21.6,0.25,,0.541,13,77.2,0.217,,Wells Fargo Center,"839,261","20,470"
4,2023,Memphis Grizzlies,Yes,No,24.4,51,31,51,31,3.94,-0.34,3.6,115.1,111.2,3.9,101.1,0.259,0.372,0.57,,0.54,11.7,26.5,0.19,,0.526,13.1,75.9,0.206,,FedEx Forum,"707,836","17,264"
5,2023,Milwaukee Bucks,Yes,No,29.8,58,24,50,32,3.63,-0.02,3.61,115.4,111.9,3.5,100.5,0.248,0.446,0.583,,0.555,12.7,25,0.184,,0.52,10.4,77.8,0.175,,Fiserv Forum,"718,786","17,531"
6,2023,Denver Nuggets,Yes,Yes,26.6,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,3.4,98.1,0.259,0.361,0.601,,0.573,13.1,24.8,0.194,,0.543,12.2,76.4,0.201,,Ball Arena,"788,635","19,235"
7,2023,New York Knicks,Yes,No,24.5,47,35,48,34,2.93,0.06,2.99,117.8,114.8,3,97.1,0.285,0.4,0.577,,0.541,11.4,28.3,0.217,,0.536,11.4,77.1,0.21,,Madison Square Garden (IV),"795,110","19,393"
8,2023,Sacramento Kings,Yes,No,25.4,48,34,47,35,2.65,-0.35,2.3,119.4,116.8,2.6,100.3,0.284,0.423,0.608,,0.572,12,22.7,0.225,,0.563,12.6,77.2,0.203,,Golden 1 Center,"715,491","17,451"
9,2023,Phoenix Suns,Yes,No,28.1,45,37,46,36,2.07,0.01,2.08,115.1,113,2.1,98.2,0.241,0.362,0.57,,0.535,12,26.6,0.191,,0.532,12.9,76,0.234,,Footprint Center,"699,911","17,071"
10,2023,New Orleans Pelicans,No,No,25.9,42,40,46,36,1.89,-0.26,1.63,114.4,112.5,1.9,99.1,0.279,0.344,0.582,,0.543,12.9,24.7,0.221,,0.543,13.4,77.4,0.212,,Smoothie King Center,"687,691","16,773"
11,2023,Golden State Warriors,Yes,No,27.3,44,38,45,37,1.8,-0.15,1.66,116.1,114.4,1.7,101.6,0.224,0.479,0.6,,0.571,14.1,24.4,0.178,,0.54,12.3,76,0.214,,Chase Center,"740,624","18,064"
12,2023,Toronto Raptors,No,No,25.8,41,41,45,37,1.48,0.12,1.59,115.5,114,1.5,97.1,0.257,0.351,0.555,,0.517,10.3,27.8,0.201,,0.565,15.3,76.7,0.223,,Scotiabank Arena,"811,261","19,787"
13,2023,Chicago Bulls,No,No,27.5,40,42,44,38,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,,0.55,12.2,20.1,0.203,,0.544,13.5,77.8,0.197,,United Center,"841,632","20,528"
14,2023,Oklahoma City Thunder,No,No,22.8,40,42,44,38,1.09,-0.12,0.96,115.2,114.2,1,101.1,0.256,0.369,0.57,,0.531,11.2,24.7,0.207,,0.547,14.4,72.9,0.222,,Paycom Center,"636,903","15,534"
