,,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,,Defense Four Factors,,,,,,,
15,2023,Brooklyn Nets,Yes,No,28,45,37,43,39,0.85,0.18,1.03,115,114.1,0.9,98.3,0.26,0.397,0.598,,0.562,12.7,19.6,0.208,,0.53,12.2,73.7,0.212,,Barclays Center,"724,439","17,669"
16,2023,Los Angeles Lakers,Yes,No,27.9,43,39,42,40,0.57,-0.15,0.43,114.5,113.9,0.6,101.3,0.299,0.351,0.582,,0.542,12.3,22.8,0.232,,0.535,10.9,76.3,0.171,,Crypto.com Arena,"763,168","18,614"
17,2023,Los Angeles Clippers,Yes,No,29.7,44,38,42,40,0.5,-0.19,0.31,115,114.5,0.5,98,0.278,0.387,0.588,,0.551,12.8,22.9,0.217,,0.543,11.7,76.6,0.195,,Crypto.com Arena,"720,543","17,574"
18,2023,Atlanta Hawks,Yes,No,24.9,41,41,42,40,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,,0.541,11.2,25.1,0.2,,0.552,12.4,75.8,0.206,,State Farm Arena,"719,787","17,556"
19,2023,Dallas Mavericks,No,No,27.8,38,44,41,41,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,,0.565,11.4,18,0.225,,0.549,11.9,75.5,0.226,,American Airlines Center,"827,282","20,178"
20,2023,Minnesota Timberwolves,Yes,No,25.8,42,40,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101,0.271,0.381,0.592,,0.56,13.6,21.5,0.205,,0.54,13.3,74.3,0.225,,Target Center,"687,510","16,769"
21,2023,Miami Heat,Yes,No,27.7,44,38,40,42,-0.32,0.18,-0.13,113,113.3,-0.3,96.3,0.27,0.408,0.574,,0.53,12.4,22.8,0.224,,0.561,14.5,77.7,0.198,,Kaseya Center,"807,190","19,688"
22,2023,Utah Jazz,No,No,26.5,37,45,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,,0.547,13.3,26.8,0.209,,0.541,10.9,75.2,0.205,,Vivint Arena,"728,240","17,762"
23,2023,Washington Wizards,No,No,26.2,35,47,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,,0.55,12.7,22.6,0.202,,0.54,11,76.1,0.194,,Capital One Arena,"710,481","17,329"
24,2023,Orlando Magic,No,No,23.1,34,48,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,,0.532,13.4,23.8,0.227,,0.55,13.1,77.7,0.211,,Amway Center,"728,405","17,766"
25,2023,Indiana Pacers,No,No,24.5,35,47,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,,0.545,13,23.4,0.209,,0.554,13,72.2,0.229,,Gainbridge Fieldhouse,"641,562","15,648"
26,2023,Portland Trail Blazers,No,No,25.1,33,49,31,51,-4.01,0.05,-3.96,114.8,118.8,-4,98.6,0.289,0.413,0.589,,0.549,13.1,22.4,0.23,,0.563,12.1,74.9,0.217,,Moda Center,"767,374","18,716"
27,2023,Charlotte Hornets,No,No,25.3,27,55,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,,0.516,12.3,23.8,0.195,,0.544,12.5,75.5,0.211,,Spectrum Center,"702,052","17,123"
28,2023,Houston Rockets,No,No,22.1,22,60,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99,0.285,0.359,0.554,,0.516,14,30.2,0.215,,0.564,11.8,75.8,0.218,,Toyota Center,"668,865","16,314"
29,2023,Detroit Pistons,No,No,24.1,17,65,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99,0.295,0.372,0.561,,0.52,13.3,24.9,0.227,,0.557,11.9,74,0.231,,Little Caesars Arena,"759,715","18,596"
30,2023,San Antonio Spurs,No,No,23.9,22,60,19,63,-10.04,0.22,-9.82,110.2,120,-9.8,101.6,0.229,0.348,0.554,,0.525,13,25.6,0.17,,0.576,12,74.9,0.201,,AT&T Center,"694,434","15,508"
,2023,League Average,,,26.3,,,41,41,0,0,0,114.8,114.8,,99.1,0.266,0.387,0.581,,0.545,12.5,24,0.208,,0.545,12.5,76,0.208,,,"739,257","17,993"
