,,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,,Defense Four Factors,,,,,,,
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,1999,San Antonio Spurs,Yes,Yes,30.1,37,13,39,11,8.06,-0.94,7.12,104,95,9,88.6,0.371,0.137,0.523,,0.479,14.6,30.4,0.259,,0.423,13.8,69.5,0.198,,Alamodome,"527,357","21,094"
2,1999,Utah Jazz,Yes,No,30.3,37,13,37,13,6.52,-0.99,5.54,105.8,98.4,7.4,87,0.417,0.107,0.545,,0.485,16,30,0.32,,0.441,14.4,70.4,0.242,,Delta Center,"493,120","19,725"
3,1999,Portland Trail Blazers,Yes,No,27.4,35,15,36,14,6.36,-0.69,5.67,104.8,97.7,7.1,89.2,0.341,0.171,0.521,,0.473,14.5,31.8,0.253,,0.445,14.9,71.8,0.233,,Rose Garden Arena,"486,556","19,462"
4,1999,Miami Heat,Yes,No,30.3,33,17,35,15,4.96,0.15,5.11,104.7,98.9,5.8,84.8,0.354,0.226,0.54,,0.494,15.3,27.3,0.26,,0.439,13.6,71,0.226,,Miami Arena,"378,813","15,153"
5,1999,Indiana Pacers,Yes,No,30.8,33,17,32,18,3.74,0.12,3.86,108.7,104.4,4.3,86.4,0.318,0.207,0.537,,0.486,12.8,28.7,0.253,,0.46,12.7,69.9,0.236,,Market Square Arena,"404,536","16,181"
6,1999,Detroit Pistons,Yes,No,27.7,29,21,32,18,3.42,0.55,3.97,104.2,100.3,3.9,86.3,0.345,0.183,0.528,,0.48,15.6,30.5,0.256,,0.468,15.4,72,0.259,,The Palace of Auburn Hills,"444,585","17,783"
7,1999,Atlanta Hawks,Yes,No,29.6,31,19,31,19,2.9,-0.08,2.82,100.5,97.1,3.4,85.3,0.378,0.171,0.492,,0.436,14.5,33.1,0.277,,0.437,13.4,72.1,0.202,,Georgia Dome,"331,831","17,131"
8,1999,Los Angeles Lakers,Yes,No,27.5,31,19,30,20,3.02,-0.35,2.68,107.6,104.3,3.3,91.6,0.382,0.174,0.538,,0.498,14.1,30.6,0.261,,0.468,13.3,70.2,0.267,,Great Western Forum,"430,007","17,200"
9,1999,Orlando Magic,Yes,No,28.7,33,17,30,20,2.6,0.51,3.11,100.3,97.4,2.9,88.8,0.318,0.171,0.498,,0.456,15.4,32.6,0.222,,0.473,16.7,70.8,0.181,,Orlando Arena,"411,091","16,444"
10,1999,Houston Rockets,Yes,No,29.6,31,19,29,21,2.32,-0.93,1.39,105.4,102.9,2.5,88.8,0.313,0.241,0.545,,0.506,15.8,27.8,0.228,,0.461,12.4,69.9,0.188,,Compaq Center,"407,125","16,285"
11,1999,Phoenix Suns,Yes,No,29.3,27,23,29,21,2.26,-0.11,2.15,105.8,103.3,2.5,90,0.303,0.175,0.526,,0.481,13,28.4,0.231,,0.485,15.4,69.8,0.216,,America West Arena,"472,283","18,891"
12,1999,Philadelphia 76ers,Yes,No,26,28,22,29,21,2.06,0.5,2.56,99.9,97.6,2.3,88.6,0.383,0.096,0.494,,0.439,15.3,34.2,0.276,,0.454,17.1,69.8,0.249,,First Union Center,"436,444","17,458"
13,1999,Milwaukee Bucks,Yes,No,28.3,28,22,28,22,1.66,0,1.66,104.9,103,1.9,87,0.303,0.162,0.53,,0.489,14.3,29,0.222,,0.463,16,67.6,0.275,,Bradley Center,"381,948","15,278"
14,1999,New York Knicks,Yes,No,29,27,23,27,23,1.02,0.43,1.45,98.6,97.5,1.1,86.9,0.329,0.159,0.509,,0.463,15.9,27.9,0.241,,0.434,14.9,71,0.258,,Madison Square Garden (IV),"494,075","19,763"
15,1999,Minnesota Timberwolves,Yes,No,27.2,25,25,26,24,0.38,-0.55,-0.17,101.9,101.5,0.4,91,0.264,0.095,0.481,,0.439,11.7,32.5,0.196,,0.467,15.8,70.2,0.276,,Target Center,"427,974","17,119"
16,1999,Charlotte Hornets,No,No,29,26,24,25,25,-0.1,0.73,0.63,102.3,102.4,-0.1,89.7,0.372,0.198,0.537,,0.485,15.5,24.4,0.278,,0.461,14.3,69.5,0.24,,Charlotte Coliseum,"480,807","19,232"
17,1999,Sacramento Kings,Yes,No,26.1,27,23,24,26,-0.42,-0.47,-0.89,102.7,103.1,-0.4,96,0.3,0.219,0.514,,0.479,14.7,30.6,0.205,,0.471,13.7,67.7,0.176,,ARCO Arena (II),"418,751","16,750"
18,1999,Seattle SuperSonics,No,No,31.2,25,25,23,27,-1.08,-0.35,-1.43,105,106.2,-1.2,89.6,0.341,0.226,0.519,,0.481,14.3,31.9,0.232,,0.489,14.1,68.6,0.213,,KeyArena at Seattle Center,"426,800","17,072"
19,1999,Toronto Raptors,No,No,27.3,23,27,22,28,-1.64,0.33,-1.32,102,103.9,-1.9,88.8,0.338,0.168,0.504,,0.45,15,33.8,0.257,,0.473,14.8,70.2,0.258,,Air Canada Centre,"439,190","17,974"
20,1999,Boston Celtics,No,No,24.3,19,31,22,28,-1.86,0.11,-1.75,100.4,102.4,-2,91.5,0.259,0.182,0.501,,0.469,14.8,30.6,0.179,,0.465,15.6,69.4,0.287,,FleetCenter,"440,602","17,624"
21,1999,Cleveland Cavaliers,No,No,26.7,22,28,22,28,-1.72,0.78,-0.94,99.6,101.6,-2,86.4,0.381,0.15,0.52,,0.464,15.9,25.1,0.285,,0.468,16.2,69,0.267,,Gund Arena,"352,992","14,120"
22,1999,Washington Wizards,No,No,29.3,18,32,21,29,-2.24,0.49,-1.75,101.2,103.7,-2.5,89.8,0.302,0.146,0.507,,0.468,14.1,28.2,0.213,,0.474,15.1,69.5,0.273,,MCI Center,"402,481","16,099"
23,1999,Dallas Mavericks,No,No,26.1,19,31,21,29,-2.4,-0.1,-2.5,102.3,104.9,-2.6,89,0.3,0.148,0.502,,0.459,13.2,29.8,0.218,,0.476,13.3,69.1,0.212,,Reunion Arena,"362,837","14,513"
24,1999,Golden State Warriors,No,No,28.1,21,29,20,30,-2.5,-0.13,-2.63,98.4,101.1,-2.7,88.9,0.282,0.135,0.471,,0.434,14.1,35.2,0.19,,0.445,14,70.4,0.29,,The Arena in Oakland,"335,837","13,433"
25,1999,New Jersey Nets,No,No,26,16,34,18,32,-3.78,0.58,-3.2,99.5,103.6,-4.1,91.5,0.301,0.163,0.485,,0.434,13.7,31.1,0.231,,0.481,15.2,69.7,0.238,,Continental Airlines Arena,"400,387","16,614"
26,1999,Denver Nuggets,No,No,24.6,14,36,14,36,-6.6,-0.07,-6.67,103.1,110.4,-7.3,90.5,0.332,0.231,0.511,,0.459,13.9,30.1,0.253,,0.499,13.2,69.2,0.248,,McNichols Sports Arena,"296,965","11,879"
27,1999,Vancouver Grizzlies,No,No,25,8,42,11,39,-8.66,-0.28,-8.94,98.4,107.9,-9.5,89,0.367,0.118,0.498,,0.447,16,30.9,0.263,,0.492,14.7,66.9,0.261,,General Motors Place,"417,966","16,719"
28,1999,Los Angeles Clippers,No,No,25,9,41,11,39,-8.82,-0.12,-8.94,100,109.7,-9.7,89.5,0.306,0.167,0.497,,0.454,14.9,30.6,0.22,,0.503,14.8,66.9,0.279,,Los Angeles Memorial Sports Arena,"256,568","9,416"
29,1999,Chicago Bulls,No,No,28.6,13,37,9,41,-9.46,0.88,-8.58,92.4,103,-10.6,88.1,0.309,0.159,0.47,,0.424,15.1,26.8,0.219,,0.483,15.3,71.7,0.241,,United Center,"560,012","22,400"
,,League Average,,,27.8,,,25,25,0,0,0,102.2,102.2,,88.9,0.33,0.168,0.511,,0.466,14.6,30.2,0.24,,0.466,14.6,69.8,0.24,,,"417,929","16,910"
